当前价-0,成交总量-1,成交总额-2,持仓量-3,昨结算-4,成交笔数-5,市盈率1-6,开盘价-8,最高价-9,时间戳-G,最低价-a,今结算-b,前收盘-c,多档委买价-d,多档委买量-e,多档委卖价-f,多档委卖量-g,,
8.72,591557,517751593,0,0,0,6.71,8.85,8.9, 2018-07-16 14:09:45,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 609, 7842, 13863, 12603, 9392"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3223, 1439, 1540, 2363, 2605",59155700,8.752353416
8.72,591560,517754209,0,0,0,6.71,8.85,8.9, 2018-07-16 14:09:48,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 606, 7835, 13873, 12603, 9392"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3223, 1439, 1570, 2363, 2605",59156000,8.752353252
8.72,591561,517755081,0,0,0,6.71,8.85,8.9, 2018-07-16 14:09:51,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 608, 7835, 13873, 12603, 9392"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3223, 1439, 1570, 2363, 2605",59156100,8.752353198
8.72,591563,517756825,0,0,0,6.71,8.85,8.9, 2018-07-16 14:09:54,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 613, 7835, 13893, 12603, 9374"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3223, 1439, 1570, 2363, 2605",59156300,8.752353088
8.72,591597,517786477,0,0,0,6.71,8.85,8.9, 2018-07-16 14:09:57,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 585, 7835, 13893, 12603, 9374"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3219, 1439, 1570, 2363, 2605",59159700,8.752351297
8.73,591605,517793460,0,0,0,6.72,8.85,8.9, 2018-07-16 14:10:00,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 594, 7843, 13900, 12603, 9374"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3212, 1439, 1570, 2363, 2605",59160500,8.752350977
8.72,591624,517810412,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:03,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 574, 7843, 13900, 12603, 9374"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3212, 1439, 1570, 2363, 2605",59162400,8.752356429
8.72,591626,517812156,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:06,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 572, 7793, 13900, 12603, 9374"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3212, 1439, 1570, 2363, 2605",59162600,8.75235632
8.72,591643,517826982,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:09,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 557, 7953, 13900, 12613, 9376"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3210, 1439, 1570, 2363, 2605",59164300,8.752355424
8.72,591726,517899358,0,0,0,6.71,8.85,8.9, 2018-07-16 14:10:12,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 474, 7953, 13900, 12613, 9376"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3211, 1439, 1570, 2363, 2605",59172600,8.752350885
